numero_experimento;dataset;estructura_de_datos;cantidad_consultas;tiempo_ejecucion_us
3;auspol2019;Cerrado_Cuadratico;130000;4325
3;auspol2019;Cerrado_Cuadratico;140000;4625
3;auspol2019;Cerrado_Cuadratico;150000;4968
3;auspol2019;Cerrado_Cuadratico;160000;5336
3;auspol2019;Cerrado_Cuadratico;170000;5678
3;auspol2019;Cerrado_Cuadratico;180000;5984
3;auspol2019;Cerrado_Doble;10000;559
3;auspol2019;Cerrado_Doble;20000;1151
3;auspol2019;Cerrado_Doble;30000;1739
3;auspol2019;Cerrado_Doble;40000;2320
3;auspol2019;Cerrado_Doble;50000;2883
3;auspol2019;Cerrado_Doble;60000;3460
3;auspol2019;Cerrado_Doble;70000;4013
3;auspol2019;Cerrado_Doble;80000;4595
3;auspol2019;Cerrado_Doble;90000;5161
3;auspol2019;Cerrado_Doble;100000;5697
3;auspol2019;Cerrado_Doble;110000;6220
3;auspol2019;Cerrado_Doble;120000;6756
3;auspol2019;Cerrado_Doble;130000;7285
3;auspol2019;Cerrado_Doble;140000;7800
3;auspol2019;Cerrado_Doble;150000;8368
3;auspol2019;Cerrado_Doble;160000;8989
3;auspol2019;Cerrado_Doble;170000;9558
3;auspol2019;Cerrado_Doble;180000;10073
3;auspol2019;STL_UnorderedMap;10000;285
3;auspol2019;STL_UnorderedMap;20000;579
3;auspol2019;STL_UnorderedMap;30000;877
3;auspol2019;STL_UnorderedMap;40000;1141
3;auspol2019;STL_UnorderedMap;50000;1419
3;auspol2019;STL_UnorderedMap;60000;1716
3;auspol2019;STL_UnorderedMap;70000;1992
3;auspol2019;STL_UnorderedMap;80000;2297
3;auspol2019;STL_UnorderedMap;90000;2561
3;auspol2019;STL_UnorderedMap;100000;2817
3;auspol2019;STL_UnorderedMap;110000;3062
3;auspol2019;STL_UnorderedMap;120000;3308
3;auspol2019;STL_UnorderedMap;130000;3550
3;auspol2019;STL_UnorderedMap;140000;3781
3;auspol2019;STL_UnorderedMap;150000;4046
3;auspol2019;STL_UnorderedMap;160000;4358
3;auspol2019;STL_UnorderedMap;170000;4638
3;auspol2019;STL_UnorderedMap;180000;4889
4;auspol2019;Hash_Abierto;10000;378
4;auspol2019;Hash_Abierto;20000;782
4;auspol2019;Hash_Abierto;30000;1171
4;auspol2019;Hash_Abierto;40000;1513
4;auspol2019;Hash_Abierto;50000;1930
4;auspol2019;Hash_Abierto;60000;2347
4;auspol2019;Hash_Abierto;70000;2690
4;auspol2019;Hash_Abierto;80000;3069
4;auspol2019;Hash_Abierto;90000;3407
4;auspol2019;Hash_Abierto;100000;3734
4;auspol2019;Hash_Abierto;110000;4047
4;auspol2019;Hash_Abierto;120000;4366
4;auspol2019;Hash_Abierto;130000;4685
4;auspol2019;Hash_Abierto;140000;4979
4;auspol2019;Hash_Abierto;150000;5319
4;auspol2019;Hash_Abierto;160000;5711
4;auspol2019;Hash_Abierto;170000;6062
4;auspol2019;Hash_Abierto;180000;6372
4;auspol2019;Cerrado_Lineal;10000;386
4;auspol2019;Cerrado_Lineal;20000;762
4;auspol2019;Cerrado_Lineal;30000;1155
4;auspol2019;Cerrado_Lineal;40000;1502
4;auspol2019;Cerrado_Lineal;50000;1849
4;auspol2019;Cerrado_Lineal;60000;2212
4;auspol2019;Cerrado_Lineal;70000;2558
4;auspol2019;Cerrado_Lineal;80000;2932
4;auspol2019;Cerrado_Lineal;90000;3261
4;auspol2019;Cerrado_Lineal;100000;3582
4;auspol2019;Cerrado_Lineal;110000;3896
4;auspol2019;Cerrado_Lineal;120000;4208
4;auspol2019;Cerrado_Lineal;130000;4537
4;auspol2019;Cerrado_Lineal;140000;4853
4;auspol2019;Cerrado_Lineal;150000;5198
4;auspol2019;Cerrado_Lineal;160000;5587
4;auspol2019;Cerrado_Lineal;170000;5942
4;auspol2019;Cerrado_Lineal;180000;6256
4;auspol2019;Cerrado_Cuadratico;10000;349
4;auspol2019;Cerrado_Cuadratico;20000;706
4;auspol2019;Cerrado_Cuadratico;30000;1069
4;auspol2019;Cerrado_Cuadratico;40000;1402
4;auspol2019;Cerrado_Cuadratico;50000;1744
