numero_experimento;dataset;estructura_de_datos;cantidad_consultas;tiempo_ejecucion_us
3;auspol2019;Cerrado_Lineal;130000;1617
3;auspol2019;Cerrado_Lineal;140000;1708
3;auspol2019;Cerrado_Lineal;150000;1827
3;auspol2019;Cerrado_Lineal;160000;1990
3;auspol2019;Cerrado_Lineal;170000;2140
3;auspol2019;Cerrado_Lineal;180000;2311
3;auspol2019;Cerrado_Cuadratico;10000;71
3;auspol2019;Cerrado_Cuadratico;20000;176
3;auspol2019;Cerrado_Cuadratico;30000;301
3;auspol2019;Cerrado_Cuadratico;40000;469
3;auspol2019;Cerrado_Cuadratico;50000;596
3;auspol2019;Cerrado_Cuadratico;60000;882
3;auspol2019;Cerrado_Cuadratico;70000;1168
3;auspol2019;Cerrado_Cuadratico;80000;1304
3;auspol2019;Cerrado_Cuadratico;90000;1414
3;auspol2019;Cerrado_Cuadratico;100000;1523
3;auspol2019;Cerrado_Cuadratico;110000;1627
3;auspol2019;Cerrado_Cuadratico;120000;1754
3;auspol2019;Cerrado_Cuadratico;130000;1857
3;auspol2019;Cerrado_Cuadratico;140000;1952
3;auspol2019;Cerrado_Cuadratico;150000;2078
3;auspol2019;Cerrado_Cuadratico;160000;2240
3;auspol2019;Cerrado_Cuadratico;170000;2394
3;auspol2019;Cerrado_Cuadratico;180000;2520
3;auspol2019;Cerrado_Doble;10000;84
3;auspol2019;Cerrado_Doble;20000;244
3;auspol2019;Cerrado_Doble;30000;377
3;auspol2019;Cerrado_Doble;40000;500
3;auspol2019;Cerrado_Doble;50000;625
3;auspol2019;Cerrado_Doble;60000;765
3;auspol2019;Cerrado_Doble;70000;900
3;auspol2019;Cerrado_Doble;80000;1037
3;auspol2019;Cerrado_Doble;90000;1174
3;auspol2019;Cerrado_Doble;100000;1291
3;auspol2019;Cerrado_Doble;110000;1404
3;auspol2019;Cerrado_Doble;120000;1518
3;auspol2019;Cerrado_Doble;130000;1628
3;auspol2019;Cerrado_Doble;140000;1734
3;auspol2019;Cerrado_Doble;150000;1881
3;auspol2019;Cerrado_Doble;160000;2054
3;auspol2019;Cerrado_Doble;170000;2222
3;auspol2019;Cerrado_Doble;180000;2361
3;auspol2019;STL_UnorderedMap;10000;253
3;auspol2019;STL_UnorderedMap;20000;493
3;auspol2019;STL_UnorderedMap;30000;687
